date,tweet_count,tweet_gt,POS,NEU,NEG,POS_I,NEU_I,NEG_I,volume,price,uptick
2022-06-01 00:00:00,6194,69,0.1934259162857143,0.6939960542857142,0.1125780500071428,0.0809696542857142,0.8237526171428572,0.0952777461428571,0,31950.9765625,0
2022-06-01 01:00:00,5991,74,0.2477409419224137,0.6271239164568966,0.1251351462128735,0.3006002764277372,0.557735065810219,0.1416646585766423,0,31899.189453125,1
2022-06-01 02:00:00,6458,71,0.2079449341979238,0.6488261692012688,0.143228898477128,0.2148514907643636,0.6064691012381818,0.1786794126570909,36503552,31810.03515625,0
2022-06-01 03:00:00,8221,74,0.271222330824626,0.604783715881473,0.1239939474858458,0.3018826962123931,0.5544006135042735,0.1437166832461538,0,31641.478515625,1
2022-06-01 04:00:00,7626,79,0.2361321881793577,0.6508883579082569,0.1129794589538646,0.259683989927451,0.6227972793568627,0.1175187281741176,489062400,31587.060546875,0
2022-06-01 05:00:00,7660,84,0.2151586308517647,0.6705026284164706,0.1143387440692117,0.2368601114710843,0.6239138764779116,0.1392260087639759,0,31594.111328125,0
2022-06-01 06:00:00,8028,75,0.243815173410128,0.6431259851396973,0.1130588526955762,0.2612898841050847,0.6132407452542372,0.125469377734322,0,31589.658203125,1
2022-06-01 07:00:00,8556,73,0.2359854990697916,0.6502107438672453,0.1138037624868286,0.240257239618421,0.6376797044624061,0.122063049661203,21784576,31484.64453125,1
2022-06-01 08:00:00,8056,74,0.2179870277903868,0.6398749674021103,0.142138004681524,0.2449190505358024,0.6283111635144032,0.1267697834991769,189095936,31603.359375,0
2022-06-01 09:00:00,8519,78,0.23032567765,0.6348518987111241,0.1348224253821311,0.2282001383979838,0.6566342317540322,0.1151656296378629,0,31663.724609375,0
2022-06-01 10:00:00,9375,72,0.2339369074690448,0.6272550189470656,0.1388080752067318,0.2334990444193548,0.6472022978951614,0.1192986625790322,0,31556.810546875,1
2022-06-01 11:00:00,9334,78,0.2314352241450688,0.6318907484713303,0.1366740340721559,0.2249318518440514,0.6065790066848874,0.1684891458440514,301359104,31566.34765625,1
2022-06-01 12:00:00,11615,73,0.2374216635429928,0.6528444353522566,0.1097339123874703,0.2744117641379844,0.5952863395581395,0.1303018962234883,340490240,31724.033203125,0
2022-06-01 13:00:00,12030,74,0.2281113358804821,0.6528204219214696,0.1190682512122158,0.2522604950988,0.6117658087224,0.13597369863404,0,31725.890625,1
2022-06-01 14:00:00,12448,80,0.2435051687521689,0.6386122215759132,0.1178826231874657,0.2359580066407114,0.6120011389960475,0.1520408708648221,730918912,31243.291015625,1
2022-06-01 15:00:00,11700,79,0.2385870925879171,0.6383476844424626,0.1230652338721518,0.2348360364197761,0.6404546885634328,0.1247092776708955,1259765760,30804.89453125,0
2022-06-01 16:00:00,11592,81,0.2232693419953757,0.646753029368208,0.1299776320395375,0.2017717873591911,0.627109762507353,0.1711184470669117,0,30429.19921875,1
2022-06-01 17:00:00,11733,87,0.2190873719091541,0.650652062500116,0.1302605694131402,0.2164834692847908,0.6281331976730038,0.1553833352205323,1751062528,30158.18359375,0
2022-06-01 18:00:00,11916,75,0.1994827642745664,0.6723920881676301,0.1281251519145086,0.2245663462321969,0.6171455043484848,0.1582881510732954,747229184,30229.55078125,1
2022-06-01 19:00:00,12102,74,0.2422106034929742,0.630144403979274,0.127645004917822,0.2379023939941908,0.591951345626556,0.1701462638882157,933392384,30168.810546875,1
2022-06-01 20:00:00,11144,87,0.2152727703978211,0.6516795655298165,0.1330476634311353,0.2293464157681388,0.6365189113564669,0.1341346663968454,2497703936,29655.078125,0
2022-06-01 21:00:00,9024,88,0.2545136425846154,0.6060753059685315,0.1394110481568298,0.2427503943537217,0.5999797151456311,0.1572698862827184,612675584,29640.392578125,0
2022-06-01 22:00:00,8054,100,0.2496527073760465,0.6170856086297675,0.1332616833926162,0.2661585412525974,0.5784330425487013,0.1554084115334415,336723968,29729.078125,1
2022-06-01 23:00:00,6614,78,0.252373331541791,0.6157420984429391,0.1318845755564868,0.260381225037386,0.6072307837410335,0.1323879946241641,841711616,29799.162109375,0
2022-06-02 00:00:00,6497,75,0.2403288591766248,0.6270853342251996,0.1325858114799315,0.2281859041237354,0.6049520665603113,0.1668620300863813,207716352,29697.3828125,1
2022-06-02 01:00:00,7867,73,0.265265507867354,0.6344921509347079,0.1002423609188545,0.2410617053310526,0.6082146724947368,0.1507236249686842,449540096,29817.509765625,0
2022-06-02 02:00:00,6940,71,0.2430813093398863,0.6378777701121591,0.1190409309299204,0.2187594214210045,0.6195701149954338,0.1616704635875799,0,29812.564453125,0
2022-06-02 03:00:00,9055,69,0.2778019290854857,0.6383422126034285,0.0838558571924685,0.2712024292901042,0.616872714859375,0.1119248567479166,0,29735.208984375,0
2022-06-02 04:00:00,8320,77,0.2545753264001149,0.639056134262069,0.1063685476227011,0.241438631767052,0.5843727263410404,0.1741886340855491,0,29798.9140625,1
2022-06-02 05:00:00,7912,83,0.2664940236981714,0.6063708550243428,0.12713513003792,0.2532047448212121,0.6102933403888888,0.1365019133191919,150867968,29859.173828125,0
2022-06-02 06:00:00,8257,70,0.2451136482454648,0.6364433996553288,0.1184429571771995,0.2822983681475138,0.5742504901381216,0.1434511501577348,0,29909.244140625,1
2022-06-02 07:00:00,8994,72,0.2437267932553652,0.6408169468603881,0.1154562593927511,0.2430968852535135,0.6020195160162163,0.1548835930235135,483733504,29955.623046875,0
2022-06-02 08:00:00,9062,73,0.2399554407340302,0.6563007563355401,0.1037438078712079,0.2348928412283237,0.6214618778843931,0.1436452784135838,0,29951.205078125,0
