,POS,NEU,NEG
2022-06-01 00:00:00,0.19342591628571432,0.6939960542857142,0.11257805000714285
2022-06-01 01:00:00,0.24774094192241378,0.6271239164568966,0.12513514621287355
2022-06-01 02:00:00,0.20794493419792387,0.6488261692012688,0.14322889847712802
2022-06-01 03:00:00,0.271222330824626,0.604783715881473,0.1239939474858458
2022-06-01 04:00:00,0.23613218817935777,0.6508883579082569,0.11297945895386469
2022-06-01 05:00:00,0.2151586308517647,0.6705026284164706,0.11433874406921177
2022-06-01 06:00:00,0.24381517341012804,0.6431259851396973,0.11305885269557626
2022-06-01 07:00:00,0.23598549906979166,0.6502107438672453,0.11380376248682869
2022-06-01 08:00:00,0.21798702779038687,0.6398749674021103,0.14213800468152404
2022-06-01 09:00:00,0.23032567765,0.6348518987111241,0.13482242538213116
2022-06-01 10:00:00,0.23393690746904489,0.6272550189470656,0.13880807520673188
2022-06-01 11:00:00,0.2314352241450688,0.6318907484713303,0.13667403407215598
2022-06-01 12:00:00,0.23742166354299288,0.6528444353522566,0.10973391238747031
2022-06-01 13:00:00,0.22811133588048219,0.6528204219214696,0.11906825121221584
2022-06-01 14:00:00,0.24350516875216896,0.6386122215759132,0.11788262318746574
2022-06-01 15:00:00,0.23858709258791716,0.6383476844424626,0.12306523387215189
2022-06-01 16:00:00,0.2232693419953757,0.646753029368208,0.12997763203953758
2022-06-01 17:00:00,0.21908737190915412,0.650652062500116,0.1302605694131402
2022-06-01 18:00:00,0.19948276427456646,0.6723920881676301,0.12812515191450868
2022-06-01 19:00:00,0.24221060349297424,0.630144403979274,0.12764500491782202
2022-06-01 20:00:00,0.2152727703978211,0.6516795655298165,0.13304766343113533
2022-06-01 21:00:00,0.2545136425846154,0.6060753059685315,0.13941104815682984
2022-06-01 22:00:00,0.24965270737604653,0.6170856086297675,0.13326168339261626
2022-06-01 23:00:00,0.25237333154179104,0.6157420984429391,0.1318845755564868
2022-06-02 00:00:00,0.24032885917662486,0.6270853342251996,0.13258581147993156
2022-06-02 01:00:00,0.265265507867354,0.6344921509347079,0.10024236091885454
2022-06-02 02:00:00,0.24308130933988636,0.6378777701121591,0.11904093092992045
2022-06-02 03:00:00,0.27780192908548573,0.6383422126034285,0.08385585719246856
2022-06-02 04:00:00,0.25457532640011493,0.639056134262069,0.10636854762270115
2022-06-02 05:00:00,0.26649402369817143,0.6063708550243428,0.12713513003792
2022-06-02 06:00:00,0.24511364824546486,0.6364433996553288,0.11844295717719955
2022-06-02 07:00:00,0.24372679325536528,0.6408169468603881,0.11545625939275114
2022-06-02 08:00:00,0.2399554407340302,0.6563007563355401,0.1037438078712079
2022-06-02 09:00:00,0.19655576683512585,0.6817610155423341,0.12168321980400457
2022-06-02 10:00:00,0.22374268576547754,0.6414591236383199,0.13479819356173764
2022-06-02 11:00:00,0.22207402078178695,0.6449480378877434,0.1329779448372394
2022-06-02 12:00:00,0.21539820114840183,0.6530657409138129,0.13153606795068493
2022-06-02 13:00:00,0.21796619159943245,0.6543796469148695,0.1276541695129966
2022-06-02 14:00:00,0.25531334338727063,0.623391323885321,0.12129534332733945
2022-06-02 15:00:00,0.21835598144463667,0.6646174899653979,0.11702653410262975
2022-06-02 16:00:00,0.2232761950911596,0.6494068319275544,0.12731698856665902
2022-06-02 17:00:00,0.21050284844867664,0.6532602565481013,0.13623690288349827
2022-06-02 18:00:00,0.2166109838256741,0.6565867391512309,0.12680228251093786
2022-06-02 19:00:00,0.20741987070210033,0.6549988228179697,0.137581309094049
2022-06-02 20:00:00,0.19882025969138922,0.655461716140069,0.14571802817709528
2022-06-02 21:00:00,0.20691725920359214,0.6457660984831981,0.1473166481842526
2022-06-02 22:00:00,0.2147098703553387,0.6635374764247991,0.12175265794041332
2022-06-02 23:00:00,0.19853025010841013,0.6623845889268433,0.1390851648514401
2022-06-03 00:00:00,0.21775561645620023,0.6463172886734926,0.13592710064618885
2022-06-03 01:00:00,0.22246642030449826,0.6607612865916955,0.11677229655363322
2022-06-03 02:00:00,0.2157896139824971,0.6572303020805134,0.12698008846907818
2022-06-03 03:00:00,0.2795237043318078,0.6069492137883296,0.11352708242334096
2022-06-03 04:00:00,0.22634886839904986,0.6545026301912114,0.11914850135391923
2022-06-03 05:00:00,0.21833496758208956,0.6784964075051665,0.1031686223869116
2022-06-03 06:00:00,0.22473387712099646,0.6560009928446026,0.11926513180189799
2022-06-03 07:00:00,0.21277878755152224,0.6805316187505855,0.1066895998559719
2022-06-03 08:00:00,0.20727584701071428,0.6883852582642858,0.10433889638809524
2022-06-03 09:00:00,0.1898964331559633,0.6991417474977064,0.11096182212041285
2022-06-03 10:00:00,0.2148726463257143,0.6659244930502858,0.11920286451771428
2022-06-03 11:00:00,0.21540244750347223,0.665843111019676,0.11875444006365742
2022-06-03 12:00:00,0.21147668708868142,0.6597532443407235,0.12877006536756128
2022-06-03 13:00:00,0.22994310307117855,0.6407049117082847,0.12935197776079346
2022-06-03 14:00:00,0.25418839038056207,0.6313729254168619,0.11443868278805622
2022-06-03 15:00:00,0.2316581523890215,0.6362149645656324,0.13212688746420048
2022-06-03 16:00:00,0.23604024182491187,0.6538718335804935,0.11008792376615746
2022-06-03 17:00:00,0.22734702254694836,0.6573398865938967,0.11531309222769952
2022-06-03 18:00:00,0.2021699303754386,0.6970664896643275,0.10076357370643274
2022-06-03 19:00:00,0.24676866273072362,0.6307615416037959,0.12246979689561091
2022-06-03 20:00:00,0.2206748129170673,0.6500641027175481,0.12926108222115384
2022-06-03 21:00:00,0.21324884319860626,0.6397110218455284,0.14704012875261324
