date,tweet_count,tweet_gt,POS,NEU,NEG,POS_I,NEU_I,NEG_I,volume,price,uptick
2022-06-01,117717,33,0.2333116418367722,0.639577032229741,0.1271113305237226,0.2427584001230425,0.6143596952170005,0.1428819051837262,41135817341,29799.080078125,0
2022-06-02,110093,31,0.2293368534812428,0.6467005848219958,0.1239625680892781,0.2252221329889043,0.6217562449724103,0.1530216225752051,29083562061,30467.48828125,0
2022-06-03,109165,29,0.2235805152756909,0.6556292500162515,0.1207902344922148,0.2262689218593727,0.624079495972859,0.1496515809410772,26175547452,29704.390625,0
2022-06-04,94923,26,0.2350917564917007,0.6476304444825067,0.1172777984279127,0.2450514120395632,0.6142896648240678,0.1406589239500519,16588370958,29832.9140625,1
2022-06-05,99970,25,0.246482333799119,0.6412288349917418,0.1122888364030862,0.2495294830443246,0.6130948946701152,0.1373756289582835,17264085441,29906.662109375,1
2022-06-06,129536,32,0.2327884795055002,0.6553884899820367,0.1118230324524271,0.2281067380741206,0.6424579217689039,0.1294353427102464,31947336829,31370.671875,1
2022-06-07,141948,32,0.2271160444703806,0.6556403975032528,0.1172435639893154,0.2362312349215414,0.6261297903929287,0.1376389773271348,40770974039,31155.478515625,0
2022-06-08,132658,30,0.2390570625717757,0.6351804896025569,0.1257624508527026,0.2367632206008966,0.6146373132544831,0.1485994702577848,30242059107,30214.35546875,0
2022-06-09,111562,28,0.2497870620271134,0.6393548061359476,0.1108581328571162,0.2499557754819857,0.6133736797129196,0.1366705480803112,21692004719,30111.998046875,1
2022-06-10,120200,28,0.2480584089904564,0.6397442863899087,0.1121973004324594,0.2427468127987693,0.621810496403059,0.1354426915169251,29867476527,29083.8046875,0
2022-06-11,116548,28,0.237185871214717,0.6332971224328948,0.1294679152534092,0.2363128102786457,0.6086911630114629,0.1549960271813328,27246574439,28360.810546875,1
2022-06-12,120204,36,0.2088965815962576,0.652643030802287,0.1384603917112519,0.2099668930643853,0.6245628230583847,0.1654702896266623,34163220274,26762.6484375,1
2022-06-13,226032,100,0.1805795900291879,0.6340912570334398,0.1853291529000333,0.1718724079188578,0.6125427756308299,0.2155848161154902,68204556440,22487.388671875,0
2022-06-14,177975,93,0.1864605848531877,0.6346052877577396,0.178885498260868,0.173139650050429,0.6184547875657591,0.208240545471797,50913575242,22206.79296875,1
2022-06-15,168679,90,0.2035942357868684,0.6359297327885702,0.1604760293400839,0.1857139609532588,0.6199051894886575,0.1943808494234823,54912007015,22572.83984375,0
2022-06-16,152572,73,0.210791829151229,0.6381956023187949,0.1510125658435251,0.2068448057268429,0.6167241974820522,0.1764309989884433,31183975654,20381.650390625,0
2022-06-17,132098,63,0.2008334870930996,0.6456849683023278,0.1534815447473786,0.2046290416662231,0.6274702663515069,0.1679006931931131,27132421514,20471.482421875,1
2022-06-18,209849,97,0.1805997921667475,0.6198217747988836,0.1995298927049999,0.1700400492445038,0.6084092842962469,0.2215506682698894,42009436760,19017.642578125,0
2022-06-19,177172,95,0.1887353447686496,0.621005957314636,0.1902586992153536,0.183325484940478,0.6083499852246917,0.2083245311066859,35329942625,20553.271484375,0
2022-06-20,162743,72,0.2271557330381813,0.6236259501453018,0.1492183171896854,0.1995105895084402,0.6273176771383073,0.1731717348636169,30818458597,20599.537109375,0
2022-06-21,144041,62,0.2184874452575617,0.6518188949110189,0.129644794537503,0.2208643952793843,0.6262120198568096,0.1529235862028918,28970212744,20710.59765625,0
2022-06-22,132512,57,0.2360554215863079,0.643676418149519,0.1202681609770985,0.2297503795524308,0.622854333904671,0.1473952864804575,28574793478,19987.029296875,0
2022-06-23,128157,49,0.2245257136839029,0.6520496365849537,0.1234246511660774,0.2233460931496616,0.6293256064505467,0.1473283019096824,26188097173,21085.876953125,0
2022-06-24,124250,47,0.2352056928732208,0.6430496414871321,0.1216959220327061,0.2333053013413566,0.6160758500023341,0.1506188461536105,24957784918,21231.65625,0
2022-06-25,128224,41,0.2323253356396953,0.6478900361244375,0.1197846235312824,0.2298825081280636,0.6231990004351566,0.1469184906234377,18372538715,21502.337890625,0
2022-06-26,118914,38,0.25251455377463,0.6345436473745619,0.1129417980790498,0.2595659546059988,0.5978922167441759,0.1425418305895457,18027170497,21027.294921875,1
2022-06-27,154658,44,0.2407524881448657,0.633591136616598,0.1256563720921516,0.2340956929330501,0.6109978033541207,0.1549065039372982,20965695707,20735.478515625,1
2022-06-28,139768,42,0.2215208403754241,0.6528619632650994,0.1256171953454677,0.2177160067844274,0.6323214296407645,0.1499625629620868,21381535161,20280.634765625,1
2022-06-29,133115,42,0.2113275221861505,0.6592602653515852,0.1294122173504182,0.199652974374613,0.6345746766625388,0.1657723511518575,23552740328,20104.0234375,1
2022-06-30,147364,49,0.2088720943834005,0.6388324802401358,0.1522462317082554,0.2089301166161477,0.6055812726894079,0.1854886139009463,26267239923,19784.7265625,1
2022-07-01,143053,49,0.2154863840073919,0.6334283336636404,0.1510852828284963,0.2051446945186263,0.6209519180459837,0.1739033894066744,30767551159,19269.3671875,0
2022-07-02,122785,40,0.2003165515326441,0.6639768658802313,0.135706579752823,0.1932716779281969,0.6432866996701961,0.163441621674545,18100418740,19242.255859375,0
2022-07-03,108361,40,0.1985690791308623,0.686725766933638,0.11465654206825,0.1935610989558736,0.6516604052171059,0.1547784980986193,16390821947,19297.076171875,1
2022-07-04,111257,42,0.2188875948304624,0.6622966153383347,0.1188157854244607,0.2099527644234729,0.6478376091589567,0.1422096277883322,21594638208,20231.26171875,1
